3.3.7.2.1;Ventilo-convecteur de 4.6 KW froid et 4.65 KW chaud encastré;;;;;;;;;;;;;;;;;
3.3.7.2.2;Ventilo-convecteur de 4.6 KW froid et 4.65 KW chaud apparent;;;;;;;;;;;;;;;;;
"3.3.7.3	";Cassette de froid technique;;;;;;;;;;;;;;;;;
3.3.7.3.1;Cassette de froid de 7KW;;;;;;;;;;;;;;;;;
"3.3.7.4	";Aérotherme ;;;;;;;;;;;;;;;;;
3.3.7.4.1;Aérotherme de 3 KW;;;;;;;;;;;;;;;;;
3.3.8;Echangeur chaud - froid;;;;;;;;;;;;;;;;;
3.3.9;Remplissage des installations;;;;;;;;;;;;;;;;;
3.4;Installation de régulation, GTC et électricité HVAC;;;;;;;;;;;;;;;;;
3.4.1;Automates de régulation;;;;;;;;;;;;;;;;;
3.4.2;Câblage des installations de régulation;;;;;;;;;;;;;;;;;
3.4.3;Régulation des réseaux;;;;;;;;;;;;;;;;;
3.4.4;Armoires électriques HVAC;;;;;;;;;;;;;;;;;
"3.4.4.1	";Armoire HVAC TE HVAC01;;;;;;;;;;;;;;;;;
"3.4.4.2	";Armoire HVAC TE HVAC02;;;;;;;;;;;;;;;;;
3.4.5;Câblage électrique HVAC – Partie puissance;;;;;;;;;;;;;;;;;
3.4.6;Câblage électrique HVAC – Partie commande / régulation;;;;;;;;;;;;;;;;;
3.4.7;Câblage électrique HVAC – Mise à la terre;;;;;;;;;;;;;;;;;
3.4.8;Chemin à câbles;;;;;;;;;;;;;;;;;
3.4.9;Câblage de sécurité et de protection de l’environnement;;;;;;;;;;;;;;;;;
3.4.10;Reports vers détection incendie;;;;;;;;;;;;;;;;;
3.4.11;Cellule de décomptage;;;;;;;;;;;;;;;;;
3.4.12;Cellule de mesures électroniques;;;;;;;;;;;;;;;;;
3.4.13;Logiciels de gestion technique centralisée;;;;;;;;;;;;;;;;;
3.4.14;"Poste central ""serveur terminal""";;;;;;;;;;;;;;;;;
3.4.15;Maintenance de la licence GTC de base;;;;;;;;;;;;;;;;;
3.4.16;"Poste de contrôle ""workstation""";;;;;;;;;;;;;;;;;
3.4.17;Graphiques statiques et dynamiques;;;;;;;;;;;;;;;;;
3.4.18;Accès à distance sécurisé;;;;;;;;;;;;;;;;;
3.4.19;Transmission des alarmes critiques par SMS via réseau 4G;;;;;;;;;;;;;;;;;
3.4.20;Gateway MODBUS RTU - BACNET/IP;;;;;;;;;;;;;;;;;
3.4.21;Gateway Mbus - BACNET/IP;;;;;;;;;;;;;;;;;
3.4.22;Enregistreur de données critiques pour hall pharmaceutique;;;;;;;;;;;;;;;;;
3.5;Installation de ventilation;;;;;;;;;;;;;;;;;
3.5.1;Centrale de traitement d’air – Bureaux et cafétaria;;;;;;;;;;;;;;;;;
3.5.2;Centrale de traitement d’air – PROCESS;;;;;;;;;;;;;;;;;
3.5.3;Distribution de l’air;;;;;;;;;;;;;;;;;
